NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7_1121500	128.4177084	1	86.68945614	76.62708953	136.5937008	1	1	75.8363765	1
PF3D7_1121600	6513.416429	4430.799857	1897.248842	602.3372342	9761.884988	577.0456662	2090.049824	213.9760836	515.7802195
PF3D7_1121700	330.0841951	393.6821805	285.4273469	1	905.932076	1	244.295833	81.36003822	115.7392118
PF3D7_1121800	1	1	1	1	1	1	1	184.1735697	176.4533062
PF3D7_1121900	1	1	117.3315152	139.0508866	1	1	1	109.8245764	116.7362656
PF3D7_1122300	1	409.9831558	1	145.0256885	1	1	208.6790452	264.9543121	48.74878224
PF3D7_1122600	1	1	1	104.6737435	1	1	272.4086105	306.5914671	1019.103836
PF3D7_1122700	1	1	55.48891982	109.295983	1	1	1	1	1
PF3D7_1122800	63.73450128	140.859495	98.42318639	165.1412848	954.5669824	189.9993578	160.1675267	76.6262861	128.8674839
PF3D7_1122900	1	1	1	1	1	1	165.6657642	1	3250.211648
PF3D7_1123200	1	1	120.1064804	131.9530819	1	304.9233581	1	1	192.5271426
PF3D7_1123600	171.4911972	1	117.1494283	1	1	1	285.4443109	89.84189262	114.6128564
PF3D7_1123800	166.9156814	1	551.2869752	351.6880291	1	1	125.7460479	68.40173042	105.5935722
PF3D7_1123900	103.3696966	244.174099	1	1	91.525747	1	190.6750007	1	1
PF3D7_1124400	1	1	1	1	1	1	1	109.6612752	1
PF3D7_1124500	1	1	1	1	1	1	108.465991	237.8223188	90.77987395
PF3D7_1124600	128.9595709	1	353.9883808	149.7715126	546.3488535	254.3799579	172.4186221	1	69.13592103
PF3D7_1125000	1	1	107.2473528	107.7308739	1	1	1	94.12459056	1
PF3D7_1125400	429.0432953	346.7974211	1	1	1	1	346.7471217	96.70377041	261.9051044
PF3D7_1125500	1	147.7206823	1	1	1	1	1	1	1
PF3D7_1125600	1	1	1	95.99586169	1	1	158.4132697	1	58.93922239
PF3D7_1125700	1	1	1	1	1311.832521	515.6637829	1	1	1
PF3D7_1125800	1	1	1	1	2045.721309	418.7676861	1	1	1
PF3D7_1125900	220.2963337	322.99238	156.4138319	1	270.6575059	1	269.1923438	101.2951865	1
PF3D7_1126100	97.29980371	1	122.8593842	66.9870619	1	1	57.83091431	1	1
PF3D7_1126500	390.8773836	577.3686486	103.3222453	1	381.7175816	1	401.0969552	248.3566295	185.1240264
PF3D7_1126600	127.0628445	1	1	1	1	1	190.3803359	260.1354317	115.3536291
PF3D7_1126700	1	1	78.7405982	1	1	4804.182729	285.2632853	437.6009644	440.9228887
PF3D7_1126800	1	1	1	1	1	109.6440783	219.0061145	267.6546812	978.0661936
PF3D7_1127000	140.3635334	1	92.6440905	1	99.42442507	1	1	1	1
PF3D7_1127100	578.5620332	1	781.8939204	107.2517452	1	1	294.0412832	104.9489562	230.508084
PF3D7_1127300	138.5054095	1	43.86961441	1	1	1	71.56231899	1	1
PF3D7_1127600	105.2283969	1	79.29908001	83.16000683	494.6675996	803.6189634	99.3631201	766.7073853	262.0033631
PF3D7_1127700	1	1	1	1	1	1	1	1	413.4171127
PF3D7_1127900	1	1	1	1	589.6182661	212.0142576	100.3348246	374.1576059	81.79407895
PF3D7_1128300	1	1	1	1	1	1	1	686.0576953	1
PF3D7_1128400	95.88233204	1	47.39817142	1	1	1	1	1	1
PF3D7_1128500	185.0238129	153.6512565	1	1	1	1	141.8730705	1	71.80972114
PF3D7_1128600	1	1	1	1	1	1	361.2061386	566.9736205	285.8126877
PF3D7_1128900	1	1	1	479.5805253	1	298.9251845	1	110.2341493	1
PF3D7_1129000	988.7054	454.0174637	496.0319849	118.5788804	1	1	271.0496095	81.73118518	1
PF3D7_1129100	521.1344833	735.5829881	196.9708967	148.377898	1354.562456	101.0703506	444.8307757	220.4689457	335.3614264
